Enzyme	Correlation	t_value	p_value	conf_lower	conf_upper
K11952	0.5496534581635408	4.108947168012977	0.00019744421861855876	0.29125447469164845	0.7333017479089043
K02082	0.45970665642765696	3.232700668405461	0.0024962944417410426	0.17710382062465277	0.6722775833488144
K12019	0.4555257274446745	3.1955571504638374	0.00276430820467799	0.17197653807416444	0.6693689982149913
K10281	0.45202035569436005	3.164621182976788	0.0030081435683744218	0.16768953254104757	0.6669253216095067
K12541	0.44609347525781745	3.1127321466353988	0.00346344724706249	0.16046544594160206	0.6627830118737233
K12977	0.42726174092107483	2.9511847603538572	0.005333495812018807	0.13771333802367428	0.6495328668392938
K02530	0.4232551617238676	2.917435912954254	0.005828747271720003	0.13291177616039337	0.6466962833514905
K04128	0.422464040700865	2.9107968004296727	0.005931109617164587	0.1319652899070589	0.6461354527700509
K14661	0.4112751464964971	2.8177518098579637	0.007554372498540296	0.11863553552461789	0.6381776258697234
K11021	0.4101786858600665	2.808717683280851	0.0077322985281922385	0.117334930460539	0.6373951779245515
K12119	0.40780688416718885	2.7892255628804783	0.008129556932364501	0.1145249676640368	0.6357010260952523
K12118	0.40762669103243226	2.7877474640313835	0.00816044240971725	0.11431167771291555	0.6355722263309995
K01521	0.4046522322427547	2.7634045756916383	0.008685040396556598	0.11079479071911474	0.6334442859574979
K13140	0.402929915066003	2.749357226106178	0.009001838996709477	0.10876174727192991	0.6322105489231344
K08994	0.3993199809819586	2.7200271226096335	0.0096981279556545	0.1045085080675319	0.6296208887617899
K06198	0.3968749541304302	2.700247351765995	0.01019549375868345	0.10163387998184276	0.627863986842896
K14660	0.3914662226147435	2.6567330587251385	0.011373740498095142	0.09529228087698613	0.6239690999184775
K07261	0.3914662226147435	2.6567330587251385	0.011373740498095142	0.09529228087698613	0.6239690999184775
K06853	0.39129131751409824	2.655331387760338	0.011413702940848314	0.0950876096130493	0.6238429557232262
K11029	0.3911171666873118	2.65393609904583	0.01145361194123673	0.09488384586657234	0.6237173434824433
K02796	0.38966423531421646	2.6423083672621437	0.01179123240005997	0.09318482230888803	0.622668898598557
K08968	0.3865630889831523	2.6175676637391034	0.012540302543767146	0.0895641818245356	0.6204282888331414
K13690	0.3851864033128243	2.6066181227012915	0.0128855881763692	0.08795939005664545	0.6194323943470019
K00028	0.3839615201749602	2.5968931341761876	0.013199560863210502	0.08653284919917807	0.618545679549109
K08191	0.3839615201749602	2.5968931341761876	0.013199560863210502	0.08653284919917807	0.618545679549109
K07925	0.38280198939863824	2.5877018303733235	0.013502745359049939	0.08518354280872734	0.6177057236118214
K04715	0.3809365961730384	2.572945370504738	0.01400289213033079	0.08301513664036145	0.6163533202729581
K07813	0.3803055631407716	2.567961829193568	0.014175600901620733	0.0822822371470299	0.6158955090427413
K11336	0.37959832108206293	2.562381414528671	0.0143713100068521	0.0814612092587713	0.6153822193914242
K11219	0.37873972186999244	2.55561378517306	0.014611975141578082	0.08046501635296067	0.6147588115597581
K11606	0.3756714418984554	2.531491794224377	0.015500098964775555	0.07690989605320715	0.6125285961322642
K12427	0.375098678241105	2.5269996593285278	0.01567084231449356	0.07624709303932048	0.6121118580232242
K06407	0.3738298678479508	2.5170604725162495	0.01605474795406625	0.07477976360650646	0.6111882129684968
K10543	0.3699992830776889	2.4871529547385145	0.017262293415163166	0.07035768514324571	0.6083957672911178
K04033	0.3696502271502572	2.484435027596187	0.01737603561888945	0.06995531492960702	0.6081410163447636
K13249	0.3677503959617904	2.4696632823237232	0.018006236865234948	0.06776701483576761	0.6067536036834287
K11607	0.3654615560210758	2.4519143433996473	0.018790915355936466	0.06513446692440009	0.6050801686355761
K09685	0.36486119463853584	2.4472673282213964	0.019001428097034978	0.06444464252357748	0.6046408768142183
K13935	0.36387056620273533	2.4396071984877032	0.0193531154686557	0.06330702268305018	0.6039157027060206
K07821	0.3622089513068683	2.4267800030759767	0.019955278366838414	0.06140060634283451	0.6026984504211943
K03304	0.36101109294632056	2.4175494073755366	0.020399057327356696	0.06002763068073276	0.6018202383157901
K09563	0.36067896002556893	2.4149924589069562	0.02052355912230408	0.059647144142335344	0.6015766312716884
K06721	0.3599393738534078	2.4093024949170823	0.020803085438390934	0.058800199354372445	0.6010340115196072
K14505	0.35880158964611836	2.4005591990656816	0.021239331228931624	0.05749809987494846	0.6001988075313315
K06969	0.35865496543615605	2.399433360981826	0.021296102223349322	0.05733037517984645	0.6000911379875663
K13612	0.3583957382463942	2.397443411754402	0.02139678229629305	0.057033884580934856	0.5999007600675176
K03858	0.35765099391817085	2.391729942795315	0.021688247880124134	0.05618238031570366	0.5993536634139601
K02063	0.3562988379259915	2.381369944221367	0.022225918597673644	0.054637511360369005	0.5983597785668475
