EC Number,Galaxy107-[Prokka on data 96_ tbl].txt,Galaxy108-[Prokka on data 97_ tbl].txt,Galaxy126-[Prokka on data 115_ tbl].txt,Galaxy131-[Prokka on data 120_ tbl].txt,Galaxy146-[Prokka on data 135_ tbl].txt,Galaxy157-[Prokka on data 146_ tbl].txt,Galaxy172-[Prokka on data 161_ tbl].txt,Galaxy177-[Prokka on data 166_ tbl].txt,Galaxy18-[Prokka on data 7_ tbl].txt,Galaxy197-[Prokka on data 186_ tbl].txt,Galaxy198-[Prokka on data 187_ tbl].txt,Galaxy201-[Prokka on data 190_ tbl].txt,Galaxy24-[Prokka on data 13_ tbl].txt,Galaxy241-[Prokka on data 230_ tbl].txt,Galaxy261-[Prokka on data 254_ tbl].txt,Galaxy28-[Prokka on data 17_ tbl].txt,Galaxy281-[Prokka on data 270_ tbl].txt,Galaxy289-[Prokka on data 278_ tbl].txt,Galaxy301-[Prokka on data 290_ tbl].txt,Galaxy309-[Prokka on data 298_ tbl].txt,Galaxy321-[Prokka on data 310_ tbl].txt,Galaxy345-[Prokka on data 334_ tbl].txt,Galaxy361-[Prokka on data 350_ tbl].txt,Galaxy393-[Prokka on data 382_ tbl].txt,Galaxy405-[Prokka on data 394_ tbl].txt,Galaxy417-[Prokka on data 406_ tbl].txt,Galaxy425-[Prokka on data 414_ tbl].txt,Galaxy44-[Prokka on data 33_ tbl].txt,Galaxy445-[Prokka on data 434_ tbl].txt,Galaxy465-[Prokka on data 454_ tbl].txt,Galaxy485-[Prokka on data 474_ tbl].txt,Galaxy505-[Prokka on data 494_ tbl].txt,Galaxy525-[Prokka on data 514_ tbl].txt,Galaxy53-[Prokka on data 42_ tbl].txt,Galaxy545-[Prokka on data 534_ tbl].txt,Galaxy565-[Prokka on data 554_ tbl].txt,Galaxy585-[Prokka on data 574_ tbl].txt,Galaxy605-[Prokka on data 594_ tbl].txt,Galaxy62-[Prokka on data 51_ tbl].txt,Galaxy645-[Prokka on data 634_ tbl].txt,Galaxy669-[Prokka on data 658_ tbl].txt,Galaxy73-[Prokka on data 62_ tbl].txt,Galaxy86-[Prokka on data 75_ tbl].txt,Galaxy87-[Prokka on data 76_ tbl].txt
2.7.11.1,11.725072,20.839239,5.175194,27.554278,18.024635,14.011836000000002,55.63800799999999,8.888622,11.574075,14.357809,14.256815999999999,27.00446,35.35363,5.138823,14.305708,32.29624,11.342536,19.678663999999998,14.951503999999998,24.904385999999995,12.825147999999997,31.07166000000001,10.280007,26.460358,24.276675,21.656858999999997,13.773902,12.109683,9.182737,29.882042000000002,11.221694,15.031222999999999,32.106722,16.356338,7.6629309999999995,7.3937360000000005,12.637683,5.952824,39.726065999999996,4.906911999999999,11.977839,37.428084000000005,5.503757,6.232695
3.4.-.-,4.673775,20.108407999999997,4.342571,5.405538,10.031851000000001,4.077121,14.976304,5.608684,6.217365,0.80826,3.363345,15.077107,14.672846,10.218374999999998,9.094251,16.989611,20.431803999999996,6.6715349999999995,7.034801999999999,25.54111,2.563717,10.781367000000001,4.195831999999999,17.746089,6.583684,4.437543,9.468021,12.194011999999997,8.017227000000002,10.720561,5.225777,3.096954,13.143356,5.078952,3.0723960000000003,3.85489,10.928516,6.283307000000001,17.298052000000002,3.82219,11.977429,22.242736000000004,7.118811,2.577187
5.4.99.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.836676,0.874251,0.0,0.0,0.0,0.955128,0.0,0.0,1.18704,0.0,0.0,0.0,0.0,1.08462,0.841096,0.914179,0.919872,0.988636,0.0,1.13011,0.902552,0.821326,0.0,0.0,0.0,0.83815,0.0,1.15472,0.891931,0.0,3.70256,0.0,0.0
3.4.21.88,2.4622789999999997,4.765801,1.6443189999999999,5.4001079999999995,1.693495,4.579378,2.682651,1.744356,0.76259,0.847458,0.0,7.5944579999999995,4.317907,0.928571,3.2986050000000002,6.652856000000001,6.432665,8.796387000000001,3.4476340000000003,16.967351999999998,2.5483149999999997,4.062298,3.25361,7.226708,1.8246959999999999,2.9176260000000003,4.233943,5.7284939999999995,1.7142089999999999,3.3991880000000005,4.409868,0.0,2.97184,3.428514,1.9446189999999999,2.7479,5.414773,1.718289,4.809471,2.448828,3.7283109999999997,10.809569,4.6188649999999996,0.819572
3.5.1.-,7.372363,6.0882510000000005,4.355126,5.218295,5.908602,2.462612,9.359122000000001,0.92691,8.783348,0.0,7.479921,9.385143,6.5651269999999995,3.016099,2.562936,12.919607000000003,5.475628,11.718253,6.610689,19.960240999999996,4.1154,7.209724999999999,4.299213,12.742085,6.562559,1.904625,8.076426,8.384855,7.365391,8.869745000000002,3.62908,4.068393,11.841134,4.537366,1.935484,4.516727,4.083792,4.586471,19.950497,1.775177,8.992973000000001,17.150407,8.957925000000001,5.506159
6.2.1.3,5.616816999999999,8.423867,4.606352,5.45516,5.8584689999999995,6.743038000000001,15.173812999999999,1.467989,8.127669000000001,0.0,3.287192,7.370834,21.711585000000003,3.030069,12.872694000000001,10.847874000000001,15.345758000000002,7.5471770000000005,9.071860000000001,39.305456,5.385254000000001,10.073842999999998,9.427313,17.488506,7.668243,8.15765,13.205287000000002,15.713686,7.359681999999999,11.053151,3.838966,9.206706,7.620684,7.519958,5.265492,6.538851999999999,7.062558,2.781337,16.590325,1.6247340000000001,11.749841,36.78316799999999,5.828049,3.077515
2.1.1.207,0.0,0.0,0.0,0.0,0.0,0.0,1.03191,0.0,0.0,0.863501,1.03906,1.583773,3.770601,0.639381,1.489012,2.498061,1.916548,6.269373,0.0,3.1557570000000004,0.0,0.828283,1.8580360000000002,2.6925350000000003,1.774206,0.0,2.53037,2.0147820000000003,0.816547,2.625534,0.0,0.0,1.763317,0.0,1.10547,1.7517179999999999,1.09655,0.0,0.0,0.958075,2.827232,2.724896,0.0,1.705303
4.2.1.84,1.763571,2.483162,2.45879,0.86532,5.0435810000000005,0.931408,2.866995,0.824451,4.926644,0.851485,2.535969,1.279285,2.0639469999999998,0.885813,5.479832,5.730421,0.988327,3.300491,0.761194,11.419609000000001,1.79234,4.617177,1.627246,2.831683,3.3186000000000004,0.0,3.84201,2.049346,2.74108,2.545582,0.0,1.6456650000000002,6.69962,0.0,3.545738,4.471413,3.613423,1.17857,5.7914900000000005,3.576396,2.5053140000000003,1.844402,1.575587,1.03759
6.2.1.1,5.65106,11.716409,2.898873,4.186731,5.6552560000000005,5.994445000000001,11.26126,3.7288490000000003,8.104682,3.7298430000000002,2.567966,8.107807999999999,5.471059,5.023407,5.257917,4.201655,9.903282,7.471491,7.511698999999999,22.884912,3.849788,7.559908999999999,3.402821,5.7117569999999995,6.394875000000001,2.542759,4.908571,10.567634,1.875461,7.663447,4.604293999999999,3.36526,3.370487,3.151322,0.0,2.78956,7.732284999999999,2.448632,6.947104999999999,3.4481349999999997,5.81294,13.204432999999998,2.25152697,0.841962
2.6.1.85,0.0,1.34848,0.836735,0.0,0.848435,0.873563,1.0814,0.0,0.0,0.0,0.759582,1.780096,0.756627,1.0453109999999999,0.0,2.851874,1.481513,0.870423,2.37148,3.897816,2.5070930000000002,0.0,0.0,2.065644,0.0,0.981949,0.928328,4.1648000000000005,1.01434,3.614903,0.0,0.8,0.0,0.0,0.0,1.632536,0.0,0.797297,0.0,0.73906,4.416265999999999,3.804015,1.632288,0.0
